submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
03/04/2020,AK,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,N/A,N/A
11/17/2020,MA,192964,186774,6190,2525,262,10441,10211,230,24,0,11/19/2020 12:00:00 AM,Agree,Agree
08/10/2020,OK,48440,NA,NA,343,0,771,764,7,9,1,08/11/2020 12:00:00 AM,Not agree,Agree
03/09/2020,RMI,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
06/15/2020,AS,0,NA,NA,0,0,0,NA,NA,0,0,06/16/2020 02:10:11 PM,NA,NA
03/20/2020,MA,413,NA,NA,85,NA,5,5,0,2,0,03/22/2020 12:00:00 AM,Agree,Agree
04/04/2021,TN,818526,679728,138798,442,49,11979,9631,2348,16,2,04/04/2021 12:00:00 AM,Agree,Agree
11/23/2020,PA,314401,293367,21034,4762,333,9870,NA,NA,28,22,11/24/2020 03:27:55 PM,Agree,Not agree
08/09/2020,SD,9605,NA,NA,128,0,146,144,2,0,0,08/10/2020 02:23:35 PM,N/A,Agree
08/01/2020,UT,41380,41037,343,583,4,311,311,0,4,0,08/02/2020 02:54:37 PM,Agree,Agree
03/15/2021,NM,188488,NA,NA,177,0,4110,NA,NA,3,1,03/17/2021 12:00:00 AM,N/A,Not agree
12/21/2020,NM,130808,NA,NA,815,0,2741,NA,NA,35,2,12/23/2020 12:00:00 AM,N/A,Not agree
08/23/2020,AS,0,NA,NA,0,0,0,NA,NA,0,0,08/24/2020 01:54:34 PM,NA,NA
05/18/2021,PA,1188845,998227,190618,1730,630,26871,NA,NA,38,25,05/19/2021 02:37:49 PM,Agree,Not agree
04/14/2020,OH,7280,7153,127,305,33,324,NA,NA,56,NA,04/13/2020 04:22:39 PM,Agree,Agree
02/16/2020,UT,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
02/10/2021,GA,950906,780494,170412,3490,1045,15421,13599,1822,120,2,02/11/2021 02:50:55 PM,Agree,Agree
04/19/2021,PW,0,NA,NA,0,0,0,NA,NA,0,0,04/20/2021 02:59:01 PM,NA,NA
09/06/2020,NM,26107,NA,NA,59,0,834,NA,NA,2,0,09/08/2020 12:00:00 AM,N/A,Not agree
10/19/2020,IA,107745,NA,NA,623,58,1539,NA,NA,11,0,10/20/2020 02:59:27 PM,Not agree,Not agree
12/08/2020,AR,174325,NA,NA,2283,846,2752,NA,NA,39,3,12/09/2020 02:45:40 PM,Not agree,Not agree
09/09/2020,MP,59,59,0,0,0,2,2,0,0,0,09/10/2020 02:02:53 PM,Agree,Agree
09/06/2020,NY,203492,NA,NA,434,0,8970,NA,NA,6,0,09/07/2020 01:37:36 PM,Not agree,Not agree
02/26/2020,CO,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
10/22/2020,OK,120998,110808,10190,1418,265,1743,1697,46,26,2,10/23/2020 12:00:00 AM,Agree,Agree
11/24/2020,TN,380320,350252,30068,5963,815,4848,4408,440,66,8,11/24/2020 12:00:00 AM,Agree,Agree
10/18/2020,AS,0,NA,NA,0,0,0,NA,NA,0,0,10/19/2020 02:06:44 PM,NA,NA
07/04/2020,FL,187090,NA,NA,11372,698,3702,NA,NA,18,1,07/05/2020 03:00:14 PM,Not agree,Not agree
06/25/2020,TN,44988,44697,291,1466,16,600,574,26,9,1,06/25/2020 12:00:00 AM,Agree,Agree
05/14/2020,HI,626,NA,NA,0,0,17,NA,NA,0,0,05/14/2020 12:00:00 AM,Not agree,Not agree
04/04/2020,NYC,77094,76384,710,5916,169,3840,3137,703,666,168,04/02/2020 12:00:00 AM,Agree,Agree
04/07/2020,PA,14559,NA,NA,1579,NA,240,NA,NA,78,NA,04/07/2020 04:22:39 PM,Agree,Not agree
02/18/2020,PA,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Not agree
05/20/2020,SD,4177,NA,NA,92,1,46,46,0,0,0,05/21/2020 03:41:38 PM,N/A,Agree
05/14/2021,PW,0,NA,NA,0,0,0,NA,NA,0,0,05/15/2021 01:54:58 PM,NA,NA
10/08/2020,UT,81947,81947,0,1501,0,501,497,4,5,0,10/09/2020 01:43:36 PM,Agree,Agree
07/09/2020,OH,61331,57506,3825,1150,28,3006,2749,257,15,3,07/10/2020 03:35:06 PM,Agree,Agree
08/22/2020,TN,145363,141951,3412,862,60,1733,1670,63,17,2,08/22/2020 12:00:00 AM,Agree,Agree
05/25/2020,UT,8584,8584,0,84,0,101,101,0,3,0,05/26/2020 02:23:02 PM,Agree,Agree
10/11/2020,TN,219373,209121,10252,855,106,2934,2783,151,28,0,10/11/2020 12:00:00 AM,Agree,Agree
04/20/2020,MP,14,NA,NA,0,NA,0,0,0,-2,0,04/20/2020 04:22:39 PM,Agree,Agree
02/23/2020,UT,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
01/04/2021,HI,21614,NA,NA,75,0,287,NA,NA,0,0,01/05/2021 03:00:42 PM,Not agree,Not agree
09/05/2020,AR,65226,NA,NA,548,33,882,NA,NA,9,0,09/06/2020 02:09:04 PM,Not agree,Not agree
05/03/2020,SD,2631,NA,NA,43,2,21,21,0,0,0,05/04/2020 10:49:24 PM,N/A,Agree
09/16/2020,OK,78576,76101,2475,1222,218,1206,1196,10,12,0,09/17/2020 12:00:00 AM,Agree,Agree
06/29/2020,MP,30,30,0,0,0,2,2,0,0,0,06/30/2020 03:27:33 PM,Agree,Agree
10/08/2020,FL,717148,NA,NA,3246,419,15068,NA,NA,164,5,10/09/2020 01:43:36 PM,Not agree,Not agree
03/05/2020,RMI,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
11/19/2020,OH,326615,310103,16512,7787,200,5890,5522,368,63,3,11/20/2020 03:06:16 PM,Agree,Agree
07/08/2020,PA,92867,90202,2665,719,32,6848,NA,NA,36,31,07/09/2020 03:14:15 PM,Agree,Not agree
11/02/2020,RMI,1,1,0,0,0,0,0,0,0,0,11/03/2020 02:57:05 PM,Agree,Agree
08/19/2020,FL,577891,NA,NA,4080,162,9932,NA,NA,174,2,08/20/2020 03:11:45 PM,Not agree,Not agree
06/02/2021,HI,35111,NA,NA,21,2,497,NA,NA,0,0,06/03/2021 03:22:54 PM,Not agree,Not agree
01/15/2021,HI,23448,NA,NA,143,0,315,NA,NA,0,0,01/16/2021 02:46:10 PM,Not agree,Not agree
02/13/2021,AK,54488,NA,NA,94,0,311,NA,NA,1,0,02/13/2021 12:00:00 AM,N/A,N/A
04/06/2020,AR,915,NA,NA,62,NA,16,NA,NA,0,NA,04/05/2020 04:22:39 PM,Not agree,Not agree
08/04/2020,NM,21340,NA,NA,210,0,723,NA,NA,5,0,08/06/2020 12:00:00 AM,N/A,Not agree
05/03/2020,NY,142084,NA,NA,1461,0,5651,NA,NA,107,0,05/04/2020 10:49:24 PM,Not agree,Not agree
10/30/2020,OK,132175,119760,12415,1632,343,1922,1857,65,26,4,10/31/2020 12:00:00 AM,Agree,Agree
02/02/2020,AK,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,N/A,N/A
05/17/2020,NM,5938,NA,NA,91,0,321,NA,NA,5,0,05/19/2020 12:00:00 AM,N/A,Not agree
02/24/2020,NYC,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
09/11/2020,MA,123986,122202,1784,440,-3,9210,9001,209,12,0,09/13/2020 12:00:00 AM,Agree,Agree
04/04/2020,PA,10017,NA,NA,1596,NA,136,NA,NA,34,NA,04/03/2020 04:22:39 PM,Agree,Not agree
04/23/2021,NM,196221,NA,NA,231,0,4228,NA,NA,1,0,04/25/2021 12:00:00 AM,N/A,Not agree
06/11/2020,RMI,0,0,0,0,0,0,0,0,0,0,06/12/2020 02:17:59 PM,Agree,Agree
03/27/2020,MA,3240,NA,NA,823,NA,58,57,1,15,0,03/29/2020 12:00:00 AM,Agree,Agree
02/09/2020,CO,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
05/23/2020,PW,0,NA,NA,0,0,0,NA,NA,0,0,05/24/2020 02:15:55 PM,NA,NA
04/12/2021,NYC,892977,740647,152330,2330,603,31913,26891,5022,52,3,04/10/2021 12:00:00 AM,Agree,Agree
03/17/2021,FL,1952321,NA,NA,4487,1401,32504,NA,NA,55,-1,03/18/2021 02:01:55 PM,Not agree,Not agree
09/16/2020,CO,62686,58257,4429,587,135,2002,1651,351,6,0,09/17/2020 01:45:45 PM,Agree,Agree
05/18/2020,KS,8340,8340,0,454,0,173,NA,NA,1,0,05/19/2020 03:45:23 PM,Agree,N/A
12/10/2020,AS,3,NA,NA,0,0,0,NA,NA,0,0,12/11/2020 03:06:51 PM,NA,NA
08/23/2020,NYC,234679,228695,5984,279,27,23365,18738,4627,5,1,08/21/2020 12:00:00 AM,Agree,Agree
01/14/2021,MP,128,128,0,0,0,2,2,0,0,0,01/15/2021 02:46:04 PM,Agree,Agree
02/13/2021,IA,328719,NA,NA,580,130,5236,NA,NA,13,13,02/14/2021 02:51:00 PM,Not agree,Not agree
05/20/2020,CO,22752,20595,2157,353,62,1299,1026,273,42,17,05/21/2020 03:41:38 PM,Agree,Agree
02/15/2020,HI,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,Not agree
05/27/2020,NM,7252,NA,NA,122,0,383,NA,NA,6,0,05/29/2020 12:00:00 AM,N/A,Not agree
06/09/2020,AR,10080,NA,NA,340,0,161,NA,NA,6,0,06/10/2020 08:56:25 PM,Not agree,Not agree
06/16/2021,GA,1129675,900067,229608,498,215,21228,18348,2880,57,16,06/17/2021 02:38:09 PM,Agree,Agree
11/09/2020,GA,406904,373669,33235,1648,540,8223,8223,0,29,0,11/10/2020 09:45:45 AM,Agree,Agree
09/02/2020,TX,621667,NA,NA,4334,0,14961,NA,NA,83,0,09/04/2020 12:00:00 AM,Not agree,Not agree
05/18/2021,PR,137086,120831,16255,26,3,2452,2106,346,7,1,05/19/2021 02:37:49 PM,Agree,Agree
